[,  11,fffb,   9,98cc,9d3d,fcdf,  20,  17, 4c5,bb00,3179,ff18
[,  14,ffb4,fffe,cce8,cd1d,e84e,  24,   9, 4e3,762c,9728,8305
[,   0,fffc,   6, 29b,e458,4de7,  1f,   9, 4fd,fdfb,41bc,1fa7
[,   d,fff6,ffff, aa5,ea2f, 365,  26,  11, 4e3,1058,53d5,f82c
[,ffff,fffc,fff9,c4b3,9994,52e0,  26,  12, 4d7, 4e3,7ebf,6da5
[,   1,fffc,   9,5607,1247,e59d,  22,  10, 4db, 682,8847,b831
[,   b,fff8,ffff,3669,a005,813f,  25,  13, 4e0,8741,7365,d42d
[,fffd,fff7,   e,e83d,39c4,8ddf,  25,  15, 4e5,a070,be2b,38f9
[,   1,   5,   1, 6ff,8d0d,1655,  21,  13, 4ed,18f2,c5b9,15bd
],1924560,fff0,  13,   8,479e,b6fa,1000,  1f,  12, 4ea,b878,c9dc,4724, 70a
[,   1,   d,ffff,96c5, bd0,f7ba,  24,  13, 4e3,  43,d4e0,7499
[,   7,fffc,   d,ae2a,4060,d487,  22,  13, 4cf,984f,ff71,175e
[,   8,   0,   e, 291,4d7a,24db,  22,  10, 4c9,44c2,54f5,7485
[,  11,fff5,fff1,19bf,2c46,fb8f,  24,   e, 4ce,9f16, 828,f754
[,   5,   4,fffc,cc8d,  ed,8d6e,  26,  10, 4d6,4208,cc70,6ca2
[,   f,   d,fff8,f965,922b,cfb8,  22,  10, 4dd,51bc,d22c,fa16
[,  11,   4,   6,cc80,a718,8e20,  28,   e, 4e0,923b,b802,d7e7
[,   9,fff3,fffc,16c4,72d7,8e33,  28,   d, 4da,3961,34db,dee5
[,   8,fffc,fff6,4d22,7b37, e82,  27,  13, 4dc,8126,9d4e,ddc7
],   414,  18,fffc,   1,5cc4,a2d3,b1d8,  2a,  12, 4e0,7278,c1fa,17ce, 709
[,   6,fff9,   1,c3c5,89cc,1ea0,  2a,  14, 4db,5b55,674d,ec81
[,   6,fff8,fff1,f899,1087,6be4,  27,  14, 4e3,9c60,dab8,3789
[,   f,   2,   3,1650, 499,d642,  27,  17, 4e8,bd15,fca8, 1b7
[,   3,   8,fff6,f7f4,7954,e99f,  26,  15, 4ea,e336,6d3d,2ec7
[,  19,ffec,   5,1260,a0f2,99e6,  26,  15, 4e0,ba67,e8c8,2b96
[,   0,   1,fff8,9cf6,a22c,e2f9,  25,  13, 4d3,4c01,ccd7,1dc3
[,   8,fffe,fff7,e007,a715,7878,  27,   e, 4dd,76b0,d80e,c0ed
[,fffe,fff7,fff7,dc3c,73b2,31cc,  26,  11, 4d9,22c4,c285, ed6
[,   5,   d,fff2,35cb,e225,2e67,  24,  10, 4d8,f1e9,a030,eeb9
],    96,   5,ffe9,fffc,8015, 768,fd34,  25,   f, 4d9,c0ea,62bc,753b, 709
[,fffd,   3,ffee, 71c,e5ce,e105,  23,   d, 4df,f3bf,7009,be46
[,   a,   1,fffa,64f6,f38f,a3d0,  23,   f, 4df,961a,1fdf, c16
[,   4,fffc,fffd,a57c,41fc,c12e,  28,   c, 4dd, b9b,dc14,f4b0
[,   2,   1,fffa,  ce,1bbc,bbef,  26,   d, 4d7,f773,5131,8fa1
[,   e,   2,fffe, e01,c7b1,f68d,  25,  11, 4dd,aadb,f0f4,17b7
[,   6,fffb,fffa,d4d0,92a7,dbc2,  24,   f, 4df,6f3f,8186,4180
[,   4,ffff,fffd,52ed,99c9,105f,  24,  11, 4df,3f38,cf02,b33b
[,   5,fff6,fffc,3c6a,312c,dc9f,  21,  11, 4dc,3d60,bb76,2bcb
[,   4,   0,   7,d280,c010,f0d5,  21,  11, 4de, f49,81ef,b026
],   122,  12,fffa,   0,59d6,d06b,4514,  20,  12, 4dd,c1c6,dcb4,a882, 70a
[,   4,fff4,fff3,7906,a81f,dc8f,  28,  13, 4de,2036,dac6, bc6
[,   1,fffa,ffff,b3b8,b1b0,21b6,  27,  14, 4df,14fd,7b8a, 30c
[,   5,fffc,   1,6e05,ad2a,17ca,  24,  13, 4dd,26f1,5593,5127
[,   6,   c,fff6,ac70,fdbe,cd98,  28,  10, 4dc,1d6f,ab77,ccf3
[,   e,   3,fffe,14d2,d846,7481,  25,  13, 4de,b521,3e44,bdaa
[,   3,   2,   2,2a02,da92,3a96,  28,  12, 4df,5b4d,8954,6a61
[,   4,   7,fffb, 431,1907,def8,  26,  13, 4de,8ad5,50a8,9d46
[,   5,fff4,ffff,a4d6,c311,332d,  26,  14, 4dc,cb58,25a2,b265
[,   2,fffe,   1,3642,f680,fecb,  25,  11, 4db,7e54,3e4c,d3d7
],   112,   a,   1,fff5,49e3, de1,46e0,  22,  10, 4da,eca6,bd09,4efd, 70a
[,   a,fff6,fffc,2b4d,5544,9b39,  26,  11, 4dc,1d1d,ac08,cbba
[,   5,fff4,   c,2f59,e24c,a5a5,  24,  12, 4db,9de2,3393,efc1
[,fffb,   9,ffff,9a36,6524,5ad2,  27,   f, 4de,2f21,cbd6,1f09
[,   5,   2,fffd,41a6,4225,e1d2,  25,   f, 4db,579c,55b6,db9a
[,   b,fff0,fffc,a98e,a3db,6b1c,  25,  11, 4dd,6b01,7969,9dff
[,   4,   1,   2,db99,5164,4fc8,  23,  11, 4da,f498,6e97,e469
[,   1,   4,fffc,7d11,37c1,85b2,  27,  10, 4dd,bb66,771f,7065
